locus,alleles,trait_type,phenocode,pheno_sex,coding,modifier,pop,description,Pvalue
X:153764217,"[""C"",""T""]",categorical,20003,both_sexes,1140865634,NA,meta,Treatment/medication code,0.68799
X:153764217,"[""C"",""T""]",categorical,20003,both_sexes,1140866738,NA,meta,Treatment/medication code,0.7861
X:153764217,"[""C"",""T""]",categorical,20003,both_sexes,1140871310,NA,meta,Treatment/medication code,0.51869
X:153764217,"[""C"",""T""]",categorical,20003,both_sexes,1140879802,NA,meta,Treatment/medication code,0.55106
X:153764217,"[""C"",""T""]",categorical,20003,both_sexes,1140923346,NA,meta,Treatment/medication code,0.45198
X:153764217,"[""C"",""T""]",categorical,20003,both_sexes,1141191044,NA,meta,Treatment/medication code,0.34609
X:153764217,"[""C"",""T""]",categorical,20003,both_sexes,1141194794,NA,meta,Treatment/medication code,0.88007
X:153764217,"[""C"",""T""]",categorical,20004,both_sexes,1477,NA,meta,Operation code,0.027938
X:153764217,"[""C"",""T""]",categorical,20004,both_sexes,1478,NA,meta,Operation code,0.56134
X:153764217,"[""C"",""T""]",categorical,20004,both_sexes,1479,NA,meta,Operation code,0.41058
X:153764217,"[""C"",""T""]",categorical,20004,both_sexes,1480,NA,meta,Operation code,0.97704
X:153764217,"[""C"",""T""]",categorical,2010,both_sexes,2010,NA,meta,Suffer from 'nerves',0.30176
X:153764217,"[""C"",""T""]",categorical,20107,both_sexes,1,NA,meta,Illnesses of father,0.5153
X:153764217,"[""C"",""T""]",categorical,20107,both_sexes,100,NA,meta,Illnesses of father,0.98754
X:153764217,"[""C"",""T""]",categorical,20107,both_sexes,101,NA,meta,Illnesses of father,0.35458
X:153764217,"[""C"",""T""]",categorical,20107,both_sexes,3,NA,meta,Illnesses of father,0.71811
X:153764217,"[""C"",""T""]",categorical,20107,both_sexes,9,NA,meta,Illnesses of father,0.10201
X:153764217,"[""C"",""T""]",categorical,20110,both_sexes,100,NA,meta,Illnesses of mother,0.83399
X:153764217,"[""C"",""T""]",categorical,20110,both_sexes,8,NA,meta,Illnesses of mother,0.47375
X:153764217,"[""C"",""T""]",categorical,20110,both_sexes,9,NA,meta,Illnesses of mother,0.15061
X:153764217,"[""C"",""T""]",categorical,20111,both_sexes,1,NA,meta,Illnesses of siblings,0.68758
X:153764217,"[""C"",""T""]",categorical,20111,both_sexes,100,NA,meta,Illnesses of siblings,0.31217
X:153764217,"[""C"",""T""]",categorical,20111,both_sexes,101,NA,meta,Illnesses of siblings,0.48365
X:153764217,"[""C"",""T""]",categorical,20116,both_sexes,0,NA,meta,Smoking status,0.59522
X:153764217,"[""C"",""T""]",categorical,20116,both_sexes,1,NA,meta,Smoking status,0.37274
X:153764217,"[""C"",""T""]",categorical,20116,both_sexes,2,NA,meta,Smoking status,0.97596
X:153764217,"[""C"",""T""]",categorical,20117,both_sexes,0,NA,meta,Alcohol drinker status,0.23502
X:153764217,"[""C"",""T""]",categorical,20117,both_sexes,1,NA,meta,Alcohol drinker status,0.83676
X:153764217,"[""C"",""T""]",categorical,20117,both_sexes,2,NA,meta,Alcohol drinker status,0.16135
X:153764217,"[""C"",""T""]",categorical,20160,both_sexes,20160,NA,meta,Ever smoked,0.44772
X:153764217,"[""C"",""T""]",categorical,2020,both_sexes,2020,NA,meta,"Loneliness, isolation",0.40301
X:153764217,"[""C"",""T""]",categorical,2040,both_sexes,2040,NA,meta,Risk taking,0.58209
X:153764217,"[""C"",""T""]",categorical,2129,both_sexes,2129,NA,meta,Answered sexual history questions,0.070465
X:153764217,"[""C"",""T""]",categorical,2188,both_sexes,2188,NA,meta,"Long-standing illness, disability or infirmity",0.40845
X:153764217,"[""C"",""T""]",categorical,2207,both_sexes,2207,NA,meta,Wears glasses or contact lenses,0.51967
X:153764217,"[""C"",""T""]",categorical,2257,both_sexes,2257,NA,meta,Hearing difficulty/problems with background noise,0.31417
X:153764217,"[""C"",""T""]",categorical,2316,both_sexes,2316,NA,meta,Wheeze or whistling in the chest in last year,0.71494
X:153764217,"[""C"",""T""]",categorical,2335,both_sexes,2335,NA,meta,Chest pain or discomfort,0.91364
X:153764217,"[""C"",""T""]",categorical,2473,both_sexes,2473,NA,meta,Other serious medical condition/disability diagnosed by doctor,0.86574
X:153764217,"[""C"",""T""]",categorical,3393,both_sexes,3393,NA,meta,Hearing aid user,0.65698
X:153764217,"[""C"",""T""]",categorical,3571,both_sexes,3571,NA,meta,Back pain for 3+ months,0.547
X:153764217,"[""C"",""T""]",categorical,41232,both_sexes,10,NA,meta,Administrative and legal statuses,0.758
X:153764217,"[""C"",""T""]",categorical,41244,both_sexes,100,NA,meta,Intended management of patient (recoded),0.8889
X:153764217,"[""C"",""T""]",categorical,41245,both_sexes,1070,NA,meta,Main speciality of consultant (recoded),0.80648
X:153764217,"[""C"",""T""]",categorical,41245,both_sexes,1280,NA,meta,Main speciality of consultant (recoded),0.10839
X:153764217,"[""C"",""T""]",categorical,41246,both_sexes,1160,NA,meta,Treatment speciality of consultant (recoded),0.51518
X:153764217,"[""C"",""T""]",categorical,41246,both_sexes,1480,NA,meta,Treatment speciality of consultant (recoded),0.030742
X:153764217,"[""C"",""T""]",categorical,41247,both_sexes,2000,NA,meta,Patient classification on admission (recoded),0.056613
X:153764217,"[""C"",""T""]",categorical,41248,both_sexes,1000,NA,meta,Destinations on discharge from hospital (recoded),0.20038
X:153764217,"[""C"",""T""]",categorical,41249,both_sexes,2002,NA,meta,Methods of admission to hospital (recoded),0.098324
X:153764217,"[""C"",""T""]",categorical,41250,both_sexes,1000,NA,meta,Methods of discharge from hospital (recoded),0.12643
X:153764217,"[""C"",""T""]",categorical,41251,both_sexes,1000,NA,meta,Sources of admission to hospital (recoded),0.14153
X:153764217,"[""C"",""T""]",categorical,4293,both_sexes,3,NA,meta,PM: final answer,0.054666
X:153764217,"[""C"",""T""]",categorical,4294,both_sexes,0,NA,meta,Final attempt correct,0.054532
X:153764217,"[""C"",""T""]",categorical,4957,both_sexes,4957,NA,meta,FI3 : word interpolation,0.0025253
X:153764217,"[""C"",""T""]",categorical,5556,both_sexes,5556,NA,meta,FI9 : concept interpolation,0.4123
X:153764217,"[""C"",""T""]",categorical,6138,both_sexes,100,NA,meta,Qualifications,0.24522
X:153764217,"[""C"",""T""]",categorical,6138,both_sexes,2,NA,meta,Qualifications,0.65662
X:153764217,"[""C"",""T""]",categorical,6138,both_sexes,3,NA,meta,Qualifications,0.31685
X:153764217,"[""C"",""T""]",categorical,6138,both_sexes,4,NA,meta,Qualifications,0.89922
X:153764217,"[""C"",""T""]",categorical,6138,both_sexes,5,NA,meta,Qualifications,0.99976
X:153764217,"[""C"",""T""]",categorical,6138,both_sexes,6,NA,meta,Qualifications,0.94689
X:153764217,"[""C"",""T""]",categorical,6141,both_sexes,1,NA,meta,How are people in household related to participant,0.60941
X:153764217,"[""C"",""T""]",categorical,6141,both_sexes,2,NA,meta,How are people in household related to participant,0.3225
X:153764217,"[""C"",""T""]",categorical,6142,both_sexes,4,NA,meta,Current employment status,0.50482
X:153764217,"[""C"",""T""]",categorical,6143,both_sexes,3,NA,meta,Transport type for commuting to job workplace,0.097732
X:153764217,"[""C"",""T""]",categorical,6144,both_sexes,5,NA,meta,"Never eat eggs, dairy, wheat, sugar",0.16255
X:153764217,"[""C"",""T""]",categorical,6145,both_sexes,1,NA,meta,"Illness, injury, bereavement, stress in last 2 years",0.88178
X:153764217,"[""C"",""T""]",categorical,6145,both_sexes,6,NA,meta,"Illness, injury, bereavement, stress in last 2 years",0.17342
X:153764217,"[""C"",""T""]",categorical,6149,both_sexes,100,NA,meta,Mouth/teeth dental problems,0.12185
X:153764217,"[""C"",""T""]",categorical,6149,both_sexes,3,NA,meta,Mouth/teeth dental problems,0.34219
X:153764217,"[""C"",""T""]",categorical,6149,both_sexes,4,NA,meta,Mouth/teeth dental problems,0.46424
X:153764217,"[""C"",""T""]",categorical,6149,both_sexes,6,NA,meta,Mouth/teeth dental problems,0.609
X:153764217,"[""C"",""T""]",categorical,6150,both_sexes,100,NA,meta,Vascular/heart problems diagnosed by doctor,0.23999
X:153764217,"[""C"",""T""]",categorical,6150,both_sexes,4,NA,meta,Vascular/heart problems diagnosed by doctor,0.16196
X:153764217,"[""C"",""T""]",categorical,6151,both_sexes,7,NA,meta,Fractured bone site(s),0.24076
X:153764217,"[""C"",""T""]",categorical,6152,both_sexes,100,NA,meta,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",0.38467
X:153764217,"[""C"",""T""]",categorical,6152,both_sexes,8,NA,meta,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",0.98948
X:153764217,"[""C"",""T""]",categorical,6154,both_sexes,100,NA,meta,"Medication for pain relief, constipation, heartburn",0.82006
X:153764217,"[""C"",""T""]",categorical,6154,both_sexes,2,NA,meta,"Medication for pain relief, constipation, heartburn",0.8741
X:153764217,"[""C"",""T""]",categorical,6154,both_sexes,3,NA,meta,"Medication for pain relief, constipation, heartburn",0.96317
X:153764217,"[""C"",""T""]",categorical,6154,both_sexes,5,NA,meta,"Medication for pain relief, constipation, heartburn",0.85088
X:153764217,"[""C"",""T""]",categorical,6155,both_sexes,100,NA,meta,Vitamin and mineral supplements,0.63457
X:153764217,"[""C"",""T""]",categorical,6159,both_sexes,100,NA,meta,Pain type(s) experienced in last month,0.80266
X:153764217,"[""C"",""T""]",categorical,6159,both_sexes,7,NA,meta,Pain type(s) experienced in last month,0.47423
X:153764217,"[""C"",""T""]",categorical,6160,both_sexes,1,NA,meta,Leisure/social activities,0.61891
X:153764217,"[""C"",""T""]",categorical,6160,both_sexes,100,NA,meta,Leisure/social activities,0.70601
X:153764217,"[""C"",""T""]",categorical,6160,both_sexes,4,NA,meta,Leisure/social activities,0.64821
X:153764217,"[""C"",""T""]",categorical,6160,both_sexes,5,NA,meta,Leisure/social activities,0.51166
X:153764217,"[""C"",""T""]",categorical,6162,both_sexes,1,NA,meta,Types of transport used (excluding work),0.59913
X:153764217,"[""C"",""T""]",categorical,6162,both_sexes,2,NA,meta,Types of transport used (excluding work),0.8761
X:153764217,"[""C"",""T""]",categorical,6162,both_sexes,3,NA,meta,Types of transport used (excluding work),0.70975
X:153764217,"[""C"",""T""]",categorical,6164,both_sexes,100,NA,meta,Types of physical activity in last 4 weeks,0.2672
X:153764217,"[""C"",""T""]",categorical,6164,both_sexes,2,NA,meta,Types of physical activity in last 4 weeks,0.82435
X:153764217,"[""C"",""T""]",categorical,6164,both_sexes,5,NA,meta,Types of physical activity in last 4 weeks,0.22232
X:153764217,"[""C"",""T""]",categorical,6179,both_sexes,1,NA,meta,Mineral and other dietary supplements,0.7846
X:153764217,"[""C"",""T""]",categorical,6179,both_sexes,100,NA,meta,Mineral and other dietary supplements,0.99126
X:153764217,"[""C"",""T""]",categorical,670,both_sexes,1,NA,meta,Type of accommodation lived in,0.70628
X:153764217,"[""C"",""T""]",categorical,670,both_sexes,2,NA,meta,Type of accommodation lived in,0.90587
X:153764217,"[""C"",""T""]",categorical,680,both_sexes,3,NA,meta,Own or rent accommodation lived in,0.6849
X:153764217,"[""C"",""T""]",continuous,102,both_sexes,NA,irnt,meta,"Pulse rate, automated reading",0.32794
X:153764217,"[""C"",""T""]",continuous,1050,both_sexes,NA,NA,meta,Time spend outdoors in summer,0.14072
X:153764217,"[""C"",""T""]",continuous,1110,both_sexes,NA,NA,meta,Length of mobile phone use,0.72435
X:153764217,"[""C"",""T""]",continuous,1120,both_sexes,NA,NA,meta,Weekly usage of mobile phone in last 3 months,0.1084
X:153764217,"[""C"",""T""]",continuous,1140,both_sexes,NA,NA,meta,Difference in mobile phone use compared to two years previously,0.95964
X:153764217,"[""C"",""T""]",continuous,1160,both_sexes,NA,NA,meta,Sleep duration,0.68408
X:153764217,"[""C"",""T""]",continuous,1180,both_sexes,NA,NA,meta,Morning/evening person (chronotype),0.050893
X:153764217,"[""C"",""T""]",continuous,1239,both_sexes,NA,NA,meta,Current tobacco smoking,0.8336
X:153764217,"[""C"",""T""]",continuous,1249,both_sexes,NA,NA,meta,Past tobacco smoking,0.75287
X:153764217,"[""C"",""T""]",continuous,1259,both_sexes,NA,NA,meta,Smoking/smokers in household,0.091983
X:153764217,"[""C"",""T""]",continuous,1289,both_sexes,NA,NA,meta,Cooked vegetable intake,0.79788
X:153764217,"[""C"",""T""]",continuous,1299,both_sexes,NA,NA,meta,Salad / raw vegetable intake,0.57887
X:153764217,"[""C"",""T""]",continuous,1329,both_sexes,NA,NA,meta,Oily fish intake,0.75357
X:153764217,"[""C"",""T""]",continuous,1339,both_sexes,NA,NA,meta,Non-oily fish intake,0.38412
X:153764217,"[""C"",""T""]",continuous,1349,both_sexes,NA,NA,meta,Processed meat intake,0.70517
X:153764217,"[""C"",""T""]",continuous,135,both_sexes,NA,NA,meta,Number of self-reported non-cancer illnesses,0.6635
X:153764217,"[""C"",""T""]",continuous,1408,both_sexes,NA,NA,meta,Cheese intake,0.13097
X:153764217,"[""C"",""T""]",continuous,1438,both_sexes,NA,irnt,meta,Bread intake,0.53325
X:153764217,"[""C"",""T""]",continuous,1478,both_sexes,NA,NA,meta,Salt added to food,0.50087
X:153764217,"[""C"",""T""]",continuous,1488,both_sexes,NA,irnt,meta,Tea intake,0.24133
X:153764217,"[""C"",""T""]",continuous,1498,both_sexes,NA,NA,meta,Coffee intake,0.37389
X:153764217,"[""C"",""T""]",continuous,1548,both_sexes,NA,NA,meta,Variation in diet,0.54556
X:153764217,"[""C"",""T""]",continuous,1588,both_sexes,NA,NA,meta,Average weekly beer plus cider intake,0.87944
X:153764217,"[""C"",""T""]",continuous,1697,both_sexes,NA,NA,meta,Comparative height size at age 10,0.16766
X:153764217,"[""C"",""T""]",continuous,1717,both_sexes,NA,NA,meta,Skin colour,0.92534
X:153764217,"[""C"",""T""]",continuous,1757,both_sexes,NA,NA,meta,Facial ageing,0.60265
X:153764217,"[""C"",""T""]",continuous,20010,both_sexes,NA,irnt,meta,Interpolated Year when operation took place,0.571
X:153764217,"[""C"",""T""]",continuous,20015,both_sexes,NA,irnt,meta,Sitting height,0.99852
X:153764217,"[""C"",""T""]",continuous,20016,both_sexes,NA,irnt,meta,Fluid intelligence score,0.046926
X:153764217,"[""C"",""T""]",continuous,20022,both_sexes,NA,irnt,meta,Birth weight,0.56511
X:153764217,"[""C"",""T""]",continuous,20023,both_sexes,NA,irnt,meta,Mean time to correctly identify matches,0.68294
X:153764217,"[""C"",""T""]",continuous,20153,both_sexes,NA,irnt,meta,"Forced expiratory volume in 1-second (FEV1), predicted",0.23004
X:153764217,"[""C"",""T""]",continuous,20409,both_sexes,NA,NA,meta,Frequency of feeling guilt or remorse after drinking alcohol in last year,0.86208
X:153764217,"[""C"",""T""]",continuous,20485,both_sexes,NA,NA,meta,Ever contemplated self-harm,0.43941
X:153764217,"[""C"",""T""]",continuous,20498,both_sexes,NA,NA,meta,Felt very upset when reminded of stressful experience in past month,0.16829
X:153764217,"[""C"",""T""]",continuous,20508,both_sexes,NA,NA,meta,Recent trouble concentrating on things,0.070479
X:153764217,"[""C"",""T""]",continuous,20515,both_sexes,NA,NA,meta,Recent trouble relaxing,0.68047
X:153764217,"[""C"",""T""]",continuous,20519,both_sexes,NA,NA,meta,Recent feelings of tiredness or low energy,0.13254
X:153764217,"[""C"",""T""]",continuous,20520,both_sexes,NA,NA,meta,Recent worrying too much about different things,0.99052
X:153764217,"[""C"",""T""]",continuous,21001,both_sexes,NA,irnt,meta,Body mass index (BMI),0.96666
X:153764217,"[""C"",""T""]",continuous,21002,both_sexes,NA,irnt,meta,Weight,0.83012
X:153764217,"[""C"",""T""]",continuous,2139,both_sexes,NA,irnt,meta,Age first had sexual intercourse,0.38539
X:153764217,"[""C"",""T""]",continuous,2178,both_sexes,NA,NA,meta,Overall health rating,0.75643
X:153764217,"[""C"",""T""]",continuous,2217,both_sexes,NA,irnt,meta,Age started wearing glasses or contact lenses,0.78877
X:153764217,"[""C"",""T""]",continuous,2237,both_sexes,NA,NA,meta,Plays computer games,0.33586
X:153764217,"[""C"",""T""]",continuous,2267,both_sexes,NA,NA,meta,Use of sun/uv protection,0.7839
X:153764217,"[""C"",""T""]",continuous,2277,both_sexes,NA,NA,meta,Frequency of solarium/sunlamp use,0.67597
X:153764217,"[""C"",""T""]",continuous,23098,both_sexes,NA,irnt,meta,Weight,0.88271
X:153764217,"[""C"",""T""]",continuous,23099,both_sexes,NA,irnt,meta,Body fat percentage,0.59433
X:153764217,"[""C"",""T""]",continuous,23100,both_sexes,NA,irnt,meta,Whole body fat mass,0.60879
X:153764217,"[""C"",""T""]",continuous,23101,both_sexes,NA,irnt,meta,Whole body fat-free mass,0.77997
X:153764217,"[""C"",""T""]",continuous,23102,both_sexes,NA,irnt,meta,Whole body water mass,0.87324
X:153764217,"[""C"",""T""]",continuous,23104,both_sexes,NA,irnt,meta,Body mass index (BMI),0.15337
X:153764217,"[""C"",""T""]",continuous,23105,both_sexes,NA,irnt,meta,Basal metabolic rate,0.88538
X:153764217,"[""C"",""T""]",continuous,23106,both_sexes,NA,irnt,meta,Impedance of whole body,0.75902
X:153764217,"[""C"",""T""]",continuous,23107,both_sexes,NA,irnt,meta,Impedance of leg (right),0.50753
X:153764217,"[""C"",""T""]",continuous,23108,both_sexes,NA,irnt,meta,Impedance of leg (left),0.31199
X:153764217,"[""C"",""T""]",continuous,23109,both_sexes,NA,irnt,meta,Impedance of arm (right),0.84162
X:153764217,"[""C"",""T""]",continuous,23110,both_sexes,NA,irnt,meta,Impedance of arm (left),0.43679
X:153764217,"[""C"",""T""]",continuous,23111,both_sexes,NA,irnt,meta,Leg fat percentage (right),0.11121
X:153764217,"[""C"",""T""]",continuous,23112,both_sexes,NA,irnt,meta,Leg fat mass (right),0.069647
X:153764217,"[""C"",""T""]",continuous,23113,both_sexes,NA,irnt,meta,Leg fat-free mass (right),0.58074
X:153764217,"[""C"",""T""]",continuous,23114,both_sexes,NA,irnt,meta,Leg predicted mass (right),0.59007
X:153764217,"[""C"",""T""]",continuous,23115,both_sexes,NA,irnt,meta,Leg fat percentage (left),0.1326
X:153764217,"[""C"",""T""]",continuous,23116,both_sexes,NA,irnt,meta,Leg fat mass (left),0.059113
X:153764217,"[""C"",""T""]",continuous,23117,both_sexes,NA,irnt,meta,Leg fat-free mass (left),0.36277
X:153764217,"[""C"",""T""]",continuous,23118,both_sexes,NA,irnt,meta,Leg predicted mass (left),0.45302
X:153764217,"[""C"",""T""]",continuous,23119,both_sexes,NA,irnt,meta,Arm fat percentage (right),0.81542
X:153764217,"[""C"",""T""]",continuous,23120,both_sexes,NA,irnt,meta,Arm fat mass (right),0.86428
X:153764217,"[""C"",""T""]",continuous,23121,both_sexes,NA,irnt,meta,Arm fat-free mass (right),0.54277
X:153764217,"[""C"",""T""]",continuous,23122,both_sexes,NA,irnt,meta,Arm predicted mass (right),0.95779
X:153764217,"[""C"",""T""]",continuous,23123,both_sexes,NA,irnt,meta,Arm fat percentage (left),0.62426
X:153764217,"[""C"",""T""]",continuous,23124,both_sexes,NA,irnt,meta,Arm fat mass (left),0.74473
X:153764217,"[""C"",""T""]",continuous,23125,both_sexes,NA,irnt,meta,Arm fat-free mass (left),0.95009
X:153764217,"[""C"",""T""]",continuous,23126,both_sexes,NA,irnt,meta,Arm predicted mass (left),0.91066
X:153764217,"[""C"",""T""]",continuous,23127,both_sexes,NA,irnt,meta,Trunk fat percentage,0.1179
X:153764217,"[""C"",""T""]",continuous,23128,both_sexes,NA,irnt,meta,Trunk fat mass,0.10884
X:153764217,"[""C"",""T""]",continuous,23129,both_sexes,NA,irnt,meta,Trunk fat-free mass,0.67545
X:153764217,"[""C"",""T""]",continuous,23130,both_sexes,NA,irnt,meta,Trunk predicted mass,0.69225
X:153764217,"[""C"",""T""]",continuous,30000,both_sexes,NA,irnt,meta,White blood cell (leukocyte) count,0.70794
X:153764217,"[""C"",""T""]",continuous,30010,both_sexes,NA,irnt,meta,Red blood cell (erythrocyte) count,4.1869e-4
X:153764217,"[""C"",""T""]",continuous,30020,both_sexes,NA,irnt,meta,Haemoglobin concentration,0.21671
X:153764217,"[""C"",""T""]",continuous,30030,both_sexes,NA,irnt,meta,Haematocrit percentage,0.015893
X:153764217,"[""C"",""T""]",continuous,30040,both_sexes,NA,irnt,meta,Mean corpuscular volume,0.089165
X:153764217,"[""C"",""T""]",continuous,30050,both_sexes,NA,irnt,meta,Mean corpuscular haemoglobin,0.0015479
X:153764217,"[""C"",""T""]",continuous,30060,both_sexes,NA,irnt,meta,Mean corpuscular haemoglobin concentration,0.013827
X:153764217,"[""C"",""T""]",continuous,30070,both_sexes,NA,irnt,meta,Red blood cell (erythrocyte) distribution width,1.8442e-4
X:153764217,"[""C"",""T""]",continuous,30080,both_sexes,NA,irnt,meta,Platelet count,0.0031057
X:153764217,"[""C"",""T""]",continuous,30090,both_sexes,NA,irnt,meta,Platelet crit,0.0474
X:153764217,"[""C"",""T""]",continuous,30100,both_sexes,NA,irnt,meta,Mean platelet (thrombocyte) volume,0.3299
X:153764217,"[""C"",""T""]",continuous,30110,both_sexes,NA,irnt,meta,Platelet distribution width,0.050207
X:153764217,"[""C"",""T""]",continuous,30120,both_sexes,NA,irnt,meta,Lymphocyte count,0.40074
X:153764217,"[""C"",""T""]",continuous,30130,both_sexes,NA,irnt,meta,Monocyte count,0.01343
X:153764217,"[""C"",""T""]",continuous,30140,both_sexes,NA,irnt,meta,Neutrophill count,0.48993
X:153764217,"[""C"",""T""]",continuous,30150,both_sexes,NA,irnt,meta,Eosinophill count,0.93849
X:153764217,"[""C"",""T""]",continuous,30180,both_sexes,NA,irnt,meta,Lymphocyte percentage,0.18675
X:153764217,"[""C"",""T""]",continuous,30190,both_sexes,NA,irnt,meta,Monocyte percentage,0.02774
X:153764217,"[""C"",""T""]",continuous,30200,both_sexes,NA,irnt,meta,Neutrophill percentage,0.74401
X:153764217,"[""C"",""T""]",continuous,30210,both_sexes,NA,irnt,meta,Eosinophill percentage,0.41
X:153764217,"[""C"",""T""]",continuous,30240,both_sexes,NA,irnt,meta,Reticulocyte percentage,0.14765
X:153764217,"[""C"",""T""]",continuous,30250,both_sexes,NA,irnt,meta,Reticulocyte count,0.44136
X:153764217,"[""C"",""T""]",continuous,30260,both_sexes,NA,irnt,meta,Mean reticulocyte volume,0.64803
